groupIdx,scanIdx,axisName,axisValue,mean,errorLower,errorUpper
1,1,nacs_highfield1_detunedARP_b_back,0,0,0,0.00278558993486387
1,1,nacs_highfield1_detunedARP_b_back,1,0.00151515151515152,0.00125344707731008,0.00347549494330905
1,2,nacs_uWave_tau,5e-06,0,0,0.00278981102846906
1,2,nacs_uWave_tau,0.00075,0.0151745068285281,0.00470054694440116,0.00640485122384242
1,2,nacs_uWave_tau,0.0015,0.00151515151515152,0.00125344707731008,0.00347549494330905
1,2,nacs_uWave_tau,0.003,0.0106221547799697,0.00390924011204989,0.00567456221068702
1,2,nacs_uWave_tau,0.003375,0.00606980273141123,0.00290275677536444,0.00477334325202502
1,2,nacs_uWave_tau,0.00375,0.00151515151515152,0.00125344707731008,0.00347549494330905
1,2,nacs_uWave_tau,0.004125,0.00303030303030303,0.00195708006094601,0.00398280108246496
1,2,nacs_uWave_tau,0.0045,0.00455235204855842,0.00247658441498795,0.00440841629912531
