groupIdx,scanIdx,axisName,axisValue,mean,errorLower,errorUpper
1,1,nacs_highfield1_detunedARP_b_back,0,0,0,0.000327944568413434
1,1,nacs_highfield1_detunedARP_b_back,1,0,0,0.000327827777384602
1,2,nacs_uWave_tau,5e-06,0,0,0.000327886162494797
1,2,nacs_uWave_tau,0.000393333333333333,0,0,0.000327827777384602
1,2,nacs_uWave_tau,0.000781666666666667,0.000178030977390066,0.000147277037918207,0.000409274411482058
1,2,nacs_uWave_tau,0.00117,0.000178094390026714,0.000147329496515364,0.000409420147601833
1,2,nacs_uWave_tau,0.00155833333333333,0,0,0.000327827777384602
1,2,nacs_uWave_tau,0.00194666666666667,0,0,0.0003277694130618
1,2,nacs_uWave_tau,0.002335,0.00089063056644104,0.000384651023409815,0.000602068749388309
1,2,nacs_uWave_tau,0.00272333333333333,0.000356125356125356,0.000230023365401686,0.000469519400480932
1,2,nacs_uWave_tau,0.00311166666666667,0.000712250712250712,0.000340847101559004,0.000562820176700006
1,2,nacs_uWave_tau,0.0035,0.000178126113288208,0.000147355739830376,0.000409493054587721
